safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_8a19f018aeb5cd85_0,0.0,0.365,0.0,0.635,0.9818,0.035714,0.011905,0.0,first,2.7318,0.8261,0.0,0
inst_07674afaf6952f79_1,0.1,0.055,0.302,0.643,-0.9552,0.0,0.0,0.016667,third,3.2024,0.9444,0.0,0
inst_bb2995f1272965ff_2,0.041667,0.124,0.067,0.81,0.6369,0.0,0.0,0.03125,third,3.3711,0.9211,0.0,0
inst_bc6923d20a046654_3,0.098592,0.064,0.136,0.801,-0.2617,0.0,0.0,0.0,none,3.4946,0.9333,0.028169,2
inst_f2bc022b2bcb0668_4,0.078652,0.17,0.034,0.796,0.9402,0.044944,0.0,0.022472,first,2.9486,0.973,0.0,0
inst_9715f3701a6f058c_5,0.1,0.146,0.0,0.854,0.5859,0.0,0.0,0.1,third,2.5529,0.9444,0.0,0
inst_33c156d5be8355a3_6,0.06,0.0,0.202,0.798,-0.8625,0.0,0.0,0.0,none,3.3726,1.0,0.04,2
inst_eb818f83d1e944c6_7,0.052632,0.0,0.0,1.0,0.0,0.0,0.0,0.026316,third,2.8025,1.0,0.0,0
inst_0f887acfa9e00da7_8,0.0,0.066,0.043,0.891,0.1027,0.0,0.0,0.045455,third,3.3677,1.0,0.0,0
inst_c6c4d485162e761d_9,0.021739,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,3.774,0.8333,0.021739,1
inst_2f5f05c0a25d1ca5_10,0.081633,0.036,0.184,0.78,-0.8248,0.0,0.0,0.020408,third,3.234,1.0,0.020408,1
inst_46d9aa68fca5d269_11,0.0,0.32,0.088,0.592,0.9579,0.068966,0.12069,0.0,second,2.7919,1.0,0.0,0
inst_e7e47de49985d9fd_12,0.039216,0.157,0.183,0.66,-0.5152,0.078431,0.0,0.058824,first,2.8255,0.9565,0.019608,1
inst_87e339c0a4325efe_13,0.022989,0.033,0.041,0.926,0.1027,0.08046,0.022989,0.022989,first,2.8848,0.9,0.0,0
inst_ba9d5cc665809294_14,0.020619,0.044,0.294,0.662,-0.9671,0.051546,0.051546,0.030928,first,2.5544,0.9412,0.0,0
inst_22b78960864b8d4f_15,0.027778,0.167,0.128,0.706,0.2944,0.0,0.018519,0.055556,third,2.8343,0.9787,0.0,0
inst_6ef621ec4bfa2cfd_16,0.035088,0.359,0.0,0.641,0.9568,0.087719,0.017544,0.017544,first,2.5238,1.0,0.0,0
inst_549fa1b6ad4dadb0_17,0.078947,0.028,0.021,0.952,0.2003,0.017544,0.008772,0.026316,third,2.939,0.975,0.035088,4
inst_11f143c2c5576471_18,0.0,0.144,0.043,0.813,0.8462,0.011364,0.011364,0.034091,third,2.6867,1.0,0.011364,1
inst_d754c5bf529d5bd9_19,0.037736,0.152,0.0,0.848,0.7469,0.09434,0.018868,0.0,first,3.2711,0.9048,0.018868,1
inst_72cc4f911569c2a2_20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,3.1,1.0,0.0,0
inst_e1c48a519c235298_21,0.09434,0.051,0.053,0.896,-0.0258,0.09434,0.0,0.018868,first,3.2537,1.0,0.018868,1
